Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,205.750000,205.750000,203.089996,203.809998,198.868301,2694400
2019-06-18,205.000000,205.399994,203.919998,204.509995,199.551315,2470900
2019-06-19,204.619995,205.000000,202.610001,204.550003,199.590347,2328400
2019-06-20,205.000000,205.389999,204.100006,205.119995,200.146515,2162200
2019-06-21,205.580002,205.940002,203.979996,204.259995,199.307373,4267400
2019-06-24,204.750000,205.250000,203.630005,203.919998,198.975616,2486800
2019-06-25,204.800003,206.389999,204.720001,205.710007,200.722229,3020900
2019-06-26,205.490005,205.669998,204.009995,204.550003,199.590347,2576000
2019-06-27,204.669998,206.350006,204.199997,206.270004,201.268631,2253500
2019-06-28,206.899994,207.990005,206.320007,207.660004,202.624939,3658200
2019-07-01,208.860001,209.429993,206.190002,206.300003,201.297913,2689500
2019-07-02,206.750000,209.580002,206.320007,209.580002,204.498383,3120000
2019-07-03,209.820007,212.869995,209.699997,212.809998,207.650070,2306000
2019-07-05,212.300003,213.009995,210.250000,211.240005,206.118149,1876200
2019-07-08,211.240005,212.529999,211.229996,212.160004,207.015839,1818000
2019-07-09,211.990005,212.690002,211.470001,212.089996,206.947556,1618800
2019-07-10,212.250000,213.460007,211.949997,213.000000,207.835480,1842300
2019-07-11,214.470001,214.800003,211.610001,212.690002,207.532990,1922800
2019-07-12,212.690002,213.399994,211.270004,212.990005,207.825714,1960100
2019-07-15,213.630005,214.699997,212.690002,214.210007,209.016144,2408500
2019-07-16,213.529999,214.899994,212.149994,213.720001,208.537994,2380400
2019-07-17,213.979996,214.899994,213.360001,213.710007,208.528244,1698400
2019-07-18,214.080002,215.949997,213.330002,215.910004,210.674911,2261600
2019-07-19,215.580002,216.259995,213.800003,213.869995,208.684387,2860500
2019-07-22,213.789993,215.330002,212.520004,215.000000,209.786972,2580000
2019-07-23,215.740005,216.250000,212.639999,214.309998,209.113693,2503600
2019-07-24,213.839996,214.949997,212.270004,212.779999,207.620804,2971600
2019-07-25,212.360001,214.600006,212.309998,214.440002,209.240555,3789000
2019-07-26,217.949997,218.960007,214.490005,215.580002,210.352905,5029300
2019-07-29,216.000000,217.419998,214.300003,214.979996,209.767441,4278600
2019-07-30,214.289993,215.210007,211.580002,212.339996,207.191452,2808500
2019-07-31,212.080002,212.710007,209.369995,210.720001,205.610748,4048800
2019-08-01,211.179993,213.130005,210.110001,211.250000,206.127914,3231800
2019-08-02,211.300003,215.089996,210.889999,214.479996,209.279572,3517800
2019-08-05,213.639999,214.610001,209.429993,210.449997,205.347305,3685600
2019-08-06,210.500000,214.550003,209.880005,214.080002,208.889297,2970300
2019-08-07,213.259995,217.559998,211.339996,216.830002,211.572601,3767200
2019-08-08,217.309998,219.740005,216.169998,218.009995,212.723984,3724300
2019-08-09,218.080002,221.929993,218.080002,221.149994,215.787842,3784000
2019-08-12,220.440002,220.649994,216.369995,217.160004,211.894608,2110300
2019-08-13,220.000000,220.220001,218.039993,219.729996,214.402283,2913300
2019-08-14,218.949997,219.740005,216.380005,216.479996,211.231094,3233700
2019-08-15,216.000000,218.479996,215.669998,218.270004,212.977692,2774100
2019-08-16,219.179993,219.820007,217.300003,218.470001,213.172836,2475900
2019-08-19,219.990005,220.210007,217.110001,218.779999,213.475311,2721100
2019-08-20,218.860001,219.919998,218.350006,218.470001,213.172836,2333800
2019-08-21,219.899994,220.789993,218.729996,220.710007,215.358536,2053200
2019-08-22,220.539993,220.889999,217.880005,219.490005,214.168106,2550600
2019-08-23,219.169998,219.470001,213.889999,214.660004,209.455231,3662300
2019-08-26,216.080002,217.179993,214.210007,216.910004,211.650681,2553100
2019-08-27,217.580002,217.899994,216.050003,216.050003,210.811523,2070000
2019-08-28,216.619995,218.210007,215.399994,218.070007,212.782547,2146100
2019-08-29,219.830002,221.020004,218.369995,220.539993,215.192642,2729800
2019-08-30,219.800003,220.000000,216.940002,217.970001,213.809555,2733700
2019-09-03,217.929993,218.669998,216.279999,217.130005,212.985580,3183100
2019-09-04,217.500000,219.259995,216.500000,218.500000,214.329453,2252200
2019-09-05,220.210007,220.330002,218.399994,219.490005,215.300552,2752100
2019-09-06,219.809998,220.839996,219.449997,220.029999,215.830231,1976500
2019-09-09,220.500000,220.500000,217.160004,217.259995,213.113113,2569600
2019-09-10,215.429993,215.429993,208.279999,209.679993,205.677780,6407600
2019-09-11,209.690002,211.550003,208.539993,210.199997,206.187866,3393300
2019-09-12,211.899994,214.029999,211.300003,212.149994,208.100632,3439100
2019-09-13,212.500000,212.779999,208.949997,209.809998,205.805313,3791800
2019-09-16,209.300003,209.860001,207.330002,207.399994,203.441315,3437700
2019-09-17,208.000000,210.839996,207.490005,209.850006,205.844559,3667900
2019-09-18,210.649994,210.880005,208.289993,210.429993,206.413467,2534800
2019-09-19,210.380005,211.830002,209.869995,210.520004,206.501770,2552000
2019-09-20,210.339996,211.779999,209.369995,209.389999,205.393326,5979300
